contributor,feat_NA,feat_NT,feat_NR,feat_NOR,feat_ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,acc_type
835434,6,4,4,4,1.0,433.09,198.418,514.936,0.569,779.0,1.5,1.5,0.577,0.167,1.0,1.25,1.0,0.5,0.15,0.25,1.5,1.5,0.577,0.167,1.0,199.554,0.001,399.106,0.5,199.555,455.745,198.418,607.543,0.551,565.195,655.677,798.214,578.518,0.383,565.195,1.5,1.5,0.577,0.167,1.0,human
898369,251,13,32,21,0.656,7.856,0.308,19.142,0.84,3.535,7.844,2.0,19.318,0.733,2.0,2.0,2.0,1.344,0.322,1.0,1.846,1.0,1.376,0.326,1.0,3.321,0.0,14.04,0.844,0.252,11.202,0.535,23.418,0.808,11.472,8.297,0.253,19.735,0.837,3.812,19.308,9.0,23.68,0.603,30.0,human
633377,32,5,4,3,0.75,42.477,21.627,57.398,0.616,43.811,8.0,1.5,13.342,0.641,7.5,1.5,1.0,1.0,0.25,0.5,4.571,1.0,7.764,0.625,2.0,138.808,0.0,339.919,0.434,31.939,57.524,28.533,90.99,0.64,31.676,52.87,16.029,93.486,0.657,39.814,6.4,1.0,12.075,0.675,0.0,human
847698,145,14,16,9,0.562,14.432,0.106,36.404,0.865,4.461,9.062,1.5,17.46,0.712,7.5,2.562,1.0,2.92,0.477,1.25,2.959,1.0,4.704,0.558,2.0,10.014,0.0,42.264,0.809,0.025,33.073,5.89,50.536,0.712,44.321,15.4,0.088,37.448,0.858,4.936,10.357,6.5,12.512,0.499,4.0,human
636373,256,14,20,4,0.2,6.701,0.178,31.049,0.92,1.015,12.8,5.0,27.247,0.646,7.0,2.8,2.0,2.118,0.323,1.0,2.612,2.0,4.063,0.472,1.0,13.697,0.006,55.257,0.886,0.202,3.778,0.178,11.621,0.872,1.248,6.212,0.134,26.608,0.911,1.164,18.286,6.0,33.822,0.688,11.25,human
694545,65,8,55,49,0.891,30.731,0.133,109.367,0.906,5.001,1.182,1.0,0.819,0.147,0.0,1.109,1.0,0.458,0.093,0.0,1.14,1.0,0.549,0.116,0.0,0.848,0.0,6.249,0.733,0.0,34.258,0.272,116.467,0.901,8.008,30.123,2.249,81.275,0.843,14.88,8.125,2.0,16.974,0.71,2.5,human
593546,7,1,1,1,1.0,0.082,0.068,0.048,0.263,0.033,7.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.49,0.49,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,7.0,7.0,0.0,0.0,0.0,human
587646,15,3,1,1,1.0,28.233,1.088,50.259,0.761,30.76,15.0,15.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,395.262,395.262,0.0,0.0,0.0,,,0.0,0.0,,0.49,0.49,0.693,0.5,0.49,5.0,1.0,6.928,0.533,6.0,human
466659,253,9,25,2,0.08,2.465,0.075,9.769,0.909,0.47,10.12,4.0,22.296,0.659,6.0,3.76,4.0,2.087,0.307,3.0,3.776,2.0,3.441,0.438,3.0,6.342,0.032,17.964,0.859,0.413,2.973,0.593,6.052,0.766,2.028,2.431,0.059,8.875,0.904,0.477,28.111,36.0,23.587,0.435,35.0,human
795363,6,4,4,3,0.75,87.847,60.982,95.746,0.517,188.715,1.5,1.5,0.577,0.167,1.0,1.25,1.0,0.5,0.15,0.25,1.2,1.0,0.447,0.133,0.0,37.744,0.0,84.398,0.0,0.0,62.629,30.493,89.35,0.628,93.114,62.629,30.493,89.35,0.628,93.114,1.5,1.0,1.0,0.25,0.5,human
374984,253,14,14,9,0.643,2.063,0.11,4.521,0.817,1.586,18.071,2.5,32.364,0.722,13.5,2.571,2.0,2.102,0.381,1.75,1.782,1.5,1.137,0.281,1.0,1.469,0.0,4.294,0.788,0.136,2.207,0.163,4.4,0.793,2.084,2.269,0.131,4.763,0.806,1.856,18.071,6.5,21.374,0.578,19.5,human
877654,17,5,4,4,1.0,7.859,0.066,15.65,0.797,8.228,4.25,2.0,5.252,0.515,4.25,1.5,1.5,0.577,0.167,1.0,2.125,1.0,2.232,0.419,0.75,2.871,0.0,5.635,0.152,1.998,14.682,0.417,21.869,0.671,27.858,5.983,0.038,13.65,0.831,2.729,3.4,2.0,2.793,0.376,2.0,human
473477,19,2,4,4,1.0,85.104,0.642,179.192,0.812,94.159,4.75,1.0,7.5,0.592,3.75,1.0,1.0,0.0,0.0,0.0,4.75,1.0,7.5,0.592,3.75,82.821,0.0,165.642,0.0,82.821,400.195,332.078,269.645,0.292,263.113,434.254,434.254,372.098,0.303,263.113,9.5,9.5,9.192,0.342,6.5,human
